business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,opening_hours
OPERATIONAL,"{'location': {'lat': 37.9741517, 'lng': -122.5297655}, 'viewport': {'northeast': {'lat': 37.97558487989272, 'lng': -122.5282966701073}, 'southwest': {'lat': 37.97288522010728, 'lng': -122.5309963298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,AC Hotel by Marriott San Rafael,"[{'height': 320, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110372602561911095405"">A Google User</a>'], 'photo_reference': 'ATplDJask0JMC3E6Z5BzYMrbjAXmMdj6kz2N0ZvCXEbDGvYM7ti1In_y5DCE0B3KF1s5-wIoao6Kk0RFX_7Um84SwR3hrJuFmapz44_wZN1AjAFk_X5opUTCSHd3PBWtyCHh02C3rAkCt7Tk_DZJU35WRGvD24UZyD-ml7R_bXIqpZceqb_Y', 'width': 480}]",ChIJA8pu34WZhYARySNfgbkeAaw,"{'compound_code': 'XFFC+M3 San Rafael, California', 'global_code': '849VXFFC+M3'}",4.1,ChIJA8pu34WZhYARySNfgbkeAaw,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",48,"1201 Fifth Ave, San Rafael",
OPERATIONAL,"{'location': {'lat': 37.881771, 'lng': -122.519209}, 'viewport': {'northeast': {'lat': 37.88273302989272, 'lng': -122.5177764201073}, 'southwest': {'lat': 37.88003337010728, 'lng': -122.5204760798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Holiday Inn Express Mill Valley San Francisco Area, an IHG Hotel","[{'height': 1366, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107666742001246575312"">Holiday Inn Express Mill Valley</a>'], 'photo_reference': 'ATplDJZIt50IO-JZKfyGAaCj5k9C6yQ2-V7TuXlClMJl2wcCkde3qisMjTl5NVQ2kxsyyoWwYB409tS6T_5cdCq-mzQY4wq-6YE65sNMnyDIWqh4WKjisxpwAxH7y9flBVBih_m1pzupZRI7OvxYc443VRSnTjEunZtExhiVSMKdVnel2pr0', 'width': 2048}]",ChIJlwbAhEaFhYARXyPaZhv1uOo,"{'compound_code': 'VFJJ+P8 Mill Valley, California', 'global_code': '849VVFJJ+P8'}",4.1,ChIJlwbAhEaFhYARXyPaZhv1uOo,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",683,"160 Shoreline Hwy, Mill Valley",
OPERATIONAL,"{'location': {'lat': 37.5996167, 'lng': -122.4994333}, 'viewport': {'northeast': {'lat': 37.60102707989272, 'lng': -122.4977974701073}, 'southwest': {'lat': 37.59832742010728, 'lng': -122.5004971298928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Pacifica Beach Hotel,"[{'height': 1195, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/107157233154380946593"">Pacifica Beach Hotel</a>'], 'photo_reference': 'ATplDJaH5wlYLo8R0NdnD6Tbd2_FATtx2NWNITTgQLBN3tAFCh-yiA-QG7Eo9kLEes-4HN8TJyYI5lHx_JNZHo3WkCPKcFOX8LNqa0x0tDD53YYPBSWvBcimSSj2AdEyU-Wco7dlz5dq187ioY0YiogEWg98ldK5iz5RR5OQlJuXxKXGwYuB', 'width': 2629}]",ChIJaRw3dYR6j4ARn4GJowqXpLM,"{'compound_code': 'HGX2+R6 Pacifica, California', 'global_code': '849VHGX2+R6'}",3.7,ChIJaRw3dYR6j4ARn4GJowqXpLM,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",923,"525 Crespi Dr 2nd Floor, Pacifica",{'open_now': True}
OPERATIONAL,"{'location': {'lat': 37.7258197, 'lng': -122.1983834}, 'viewport': {'northeast': {'lat': 37.72711507989271, 'lng': -122.1972096201073}, 'southwest': {'lat': 37.72441542010727, 'lng': -122.1999092798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Holiday Inn Express & Suites Oakland-Airport, an IHG Hotel","[{'height': 1558, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108561784958506025114"">Benu Aggarwal</a>'], 'photo_reference': 'ATplDJa2zvDTitLl7XjbYwwArLtKwU0i7QkRbyUUyB-UrOEq_ANyOiHEiJHGxzakmAOujfvZ3FCFbEhdw5KsCGPBgvGP7HGjQnrnjrQKsdVVHqlTeMt0MYn_LzKmb1ZnmDrwDXZAkNcXEuxXVeSsuqFdPFzHuCXRY5B_jiusPfKRK7DJDqpY', 'width': 2048}]",ChIJZ4a8Bh6Fj4ART0DqbEq_EV8,"{'compound_code': 'PRG2+8J Oakland, California', 'global_code': '849VPRG2+8J'}",4.0,ChIJZ4a8Bh6Fj4ART0DqbEq_EV8,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",635,"66 Airport Access Rd, Oakland",
OPERATIONAL,"{'location': {'lat': 37.579151, 'lng': -122.321264}, 'viewport': {'northeast': {'lat': 37.58025677989272, 'lng': -122.3199395201073}, 'southwest': {'lat': 37.57755712010728, 'lng': -122.3226391798928}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Holiday Inn & Suites San Mateo-San Francisco SFO, an IHG Hotel","[{'height': 421, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112496676234167579805"">Holiday Inn Hotel &amp; Suites San Mateo-San Francisco Sfo</a>'], 'photo_reference': 'ATplDJa76WEuEU9SoNpTVlt90lLXZ5sJRT0hvcN6KLztJV0jKlfGRUtbzgndxyO1Og9u18nARM9kaATG3FPe9AZQ-E48Mp--8HW3JIGE2jo3KQAOBOIoucJJ0rXf5AYqfDIu4ZpIB9jIzuVtPkPz19mNaXZ6CHvN_z8X8-SUlgJyuVVi-HK-', 'width': 632}]",ChIJf34WpNCdj4AR9VuhoHMlJNE,"{'compound_code': 'HMHH+MF San Mateo, California', 'global_code': '849VHMHH+MF'}",3.8,ChIJf34WpNCdj4AR9VuhoHMlJNE,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",854,"330 N Bayshore Blvd, San Mateo",
OPERATIONAL,"{'location': {'lat': 37.9329747, 'lng': -122.5179354}, 'viewport': {'northeast': {'lat': 37.93430687989272, 'lng': -122.5166831701073}, 'southwest': {'lat': 37.93160722010728, 'lng': -122.5193828298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Marin Suites Hotel,"[{'height': 2995, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117287157451567370183"">Marin Suites Hotel</a>'], 'photo_reference': 'ATplDJb7ZSLj7g8bYDTXJZuFvVOQeiIba4S3xJmiLcCL_-7u6swOGaLPGZaC-Gh0uiBo-iTuSaMZDolYbbbE5ZYR1M73jQKx77pUEOIh-hYe5c_QmxoK8r-kZlVEpNCd-tTpUfMhHhT6bbIzDJ9fs0-YiZbhokXHmlq0KHhiGikZtAXb1myE', 'width': 4000}]",ChIJ57EAM2CahYARDvHr2Q4g0MM,"{'compound_code': 'WFMJ+5R Corte Madera, California', 'global_code': '849VWFMJ+5R'}",3.9,ChIJ57EAM2CahYARDvHr2Q4g0MM,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",840,"45 Tamal Vista Blvd, Corte Madera",
OPERATIONAL,"{'location': {'lat': 37.86794200000001, 'lng': -122.256305}, 'viewport': {'northeast': {'lat': 37.86939337989273, 'lng': -122.2549925201073}, 'southwest': {'lat': 37.86669372010728, 'lng': -122.2576921798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,Graduate Berkeley,"[{'height': 560, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109738726135740456985"">Hotel Durant</a>'], 'photo_reference': 'ATplDJatJQ8Uj4wJnnTCfFod6wnJWPpf6IHaxiEgMSD44R6FqqWHnyKKcXb57LSwq57-mui-Y4Y4oSwJTOjVJKQk2xG_23ItpOiNSOMPOWkC3rP58if29vuDQvP8d7KkJy_S9RgpLCUVDlK-uXB9O_Y83uE5g4y3QuTs4f2udEO_9LmAzINI', 'width': 780}]",ChIJO1q-ry98hYARXdN27wXhtqg,"{'compound_code': 'VP9V+5F Berkeley, California', 'global_code': '849VVP9V+5F'}",4.1,ChIJO1q-ry98hYARXdN27wXhtqg,GOOGLE,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",672,"2600 Durant Ave, Berkeley",
OPERATIONAL,"{'location': {'lat': 37.8684867, 'lng': -122.3141143}, 'viewport': {'northeast': {'lat': 37.87002422989271, 'lng': -122.3125778201073}, 'southwest': {'lat': 37.86732457010727, 'lng': -122.3152774798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,DoubleTree by Hilton Hotel Berkeley Marina,"[{'height': 3000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111675454229756792552"">A Google User</a>'], 'photo_reference': 'ATplDJbqT93cwuNP81lRVcEDGHcqW1D-hjME_dQtgbWIAk0K9uPbPqy9bHvOArCVGO3IAp4k-WPc9Rv3YBo4ElXYbktwzesbX4EIJ2J5wDZpamw-A5zRg11Fjm3V2ft28d8Q2O7arc2SWFvIolMLPRnXGNIaB5Sd9r9j0rq_HKVUA6oVlqOo', 'width': 4003}]",ChIJ3V9f_iZ_hYARmHpttB5WWr8,"{'compound_code': 'VM9P+99 Berkeley, California', 'global_code': '849VVM9P+99'}",3.9,ChIJ3V9f_iZ_hYARmHpttB5WWr8,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",2662,"200 Marina Blvd, Berkeley",
OPERATIONAL,"{'location': {'lat': 37.956422, 'lng': -122.3310716}, 'viewport': {'northeast': {'lat': 37.95788597989272, 'lng': -122.3296620201072}, 'southwest': {'lat': 37.95518632010728, 'lng': -122.3323616798927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,"Holiday Inn Express & Suites San Pablo - Richmond Area, an IHG Hotel","[{'height': 1365, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106154657157255133560"">Holiday Inn Express &amp; Suites San Pablo - Richmond Area</a>'], 'photo_reference': 'ATplDJbcPZilSfR4If_ulzxItEMe2HS-dmy0PKZGeOinGeIPvCIW4p4EpBNSeIAqNbrpdW6q-PfsUDy7ngPndGgBEnt6vxtbYzHgvOiG7U5F6wZtWqX1JbTFBKo5KLelr8zOJS4aWdlINFXB0n5sDvJZ7_t2BPxZVDqd-1H4GmHMurdAlzUv', 'width': 2048}]",ChIJPRPmC4t3hYARctTxhX0BzAw,"{'compound_code': 'XM49+HH San Pablo, California', 'global_code': '849VXM49+HH'}",3.9,ChIJPRPmC4t3hYARctTxhX0BzAw,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",548,"2525 San Pablo Dam Rd, San Pablo",
OPERATIONAL,"{'location': {'lat': 37.7426249, 'lng': -122.1938563}, 'viewport': {'northeast': {'lat': 37.74394957989271, 'lng': -122.1923896701073}, 'southwest': {'lat': 37.74124992010727, 'lng': -122.1950893298927}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/lodging-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/hotel_pinlet,La Quinta Inn & Suites by Wyndham Oakland Airport Coliseum,"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103894928662992601092"">La Quinta Inn Oakland Airport Coliseum</a>'], 'photo_reference': 'ATplDJYWzyt-p3w47qD5cFI4Q1xNmfNp5zIIpRzEs9DeULWHzA7VsiHTASkofu7Vf6290TQ5ZiHWZzIjOUNX57ue6HhJhC-cF05yrrmMsFr48FoV2o3wdaxdAyvHp1wJ4nIItfcprLmB9bFGvZErQlyitoxgZPuLDPq9yeqoMHoh7rDWAgoz', 'width': 711}]",ChIJ45hkRJSFj4ARV7SszfZFo1M,"{'compound_code': 'PRV4+2C Oakland, California', 'global_code': '849VPRV4+2C'}",3.3,ChIJ45hkRJSFj4ARV7SszfZFo1M,GOOGLE,"['lodging', 'point_of_interest', 'establishment']",1875,"8465 Enterprise Way, Oakland",{'open_now': True}
